short line: Testbench for P8AX32

Opcode RDBYTE not found on both tests
Opcode RDWORD not found on both tests
Opcode RDLONG not found on both tests
Opcode HUBOP not found on both tests
Opcode UNDEF0 not found on both tests
Opcode UNDEF1 not found on both tests
Opcode UNDEF2 not found on both tests
Opcode UNDEF3 not found on both tests
SUMNZ 7fffffff 00000001 01 00000001 7ffffffe 00 00
SUMNZ 7fffffff 00000001 11 00000001 80000000 01 01
SUMNZ 80000000 00000001 00 00000001 7fffffff 01 01
SUMNZ 80000000 00000001 10 00000001 80000001 00 00
SUMNZ 80000000 00000001 01 00000001 7fffffff 01 01
SUMNZ 80000000 00000001 11 00000001 80000001 00 00
SUMNZ 80000001 00000001 00 00000001 80000000 00 00
SUMNZ 80000001 00000001 10 00000001 80000002 00 00
SUMNZ 80000001 00000001 01 00000001 80000000 00 00
SUMNZ 80000001 00000001 11 00000001 80000002 00 00
SUMNZ fffffffe 00000001 00 00000001 fffffffd 00 00
SUMNZ fffffffe 00000001 10 00000001 ffffffff 00 00
SUMNZ fffffffe 00000001 01 00000001 fffffffd 00 00
SUMNZ fffffffe 00000001 11 00000001 ffffffff 00 00
SUMNZ ffffffff 00000001 00 00000001 fffffffe 00 00
SUMNZ ffffffff 00000001 10 00000001 00000000 00 10
SUMNZ ffffffff 00000001 01 00000001 fffffffe 00 00
SUMNZ ffffffff 00000001 11 00000001 00000000 00 10
SUMNZ 00000000 00000002 00 00000002 fffffffe 00 00
SUMNZ 00000000 00000002 01 00000002 fffffffe 00 00
SUMNZ 00000001 00000002 00 00000002 ffffffff 00 00
SUMNZ 00000001 00000002 10 00000002 00000003 00 00
SUMNZ 00000001 00000002 01 00000002 ffffffff 00 00
SUMNZ 00000001 00000002 11 00000002 00000003 00 00
SUMNZ 00000002 00000002 00 00000002 00000000 00 10
SUMNZ 00000002 00000002 10 00000002 00000004 00 00
SUMNZ 00000002 00000002 01 00000002 00000000 00 10
SUMNZ 00000002 00000002 11 00000002 00000004 00 00
SUMNZ 7fffffff 00000002 00 00000002 7ffffffd 00 00
SUMNZ 7fffffff 00000002 10 00000002 80000001 01 01
SUMNZ 7fffffff 00000002 01 00000002 7ffffffd 00 00
SUMNZ 7fffffff 00000002 11 00000002 80000001 01 01
SUMNZ 80000000 00000002 00 00000002 7ffffffe 01 01
SUMNZ 80000000 00000002 10 00000002 80000002 00 00
SUMNZ 80000000 00000002 01 00000002 7ffffffe 01 01
SUMNZ 80000000 00000002 11 00000002 80000002 00 00
SUMNZ 80000001 00000002 00 00000002 7fffffff 01 01
SUMNZ 80000001 00000002 10 00000002 80000003 00 00
SUMNZ 80000001 00000002 01 00000002 7fffffff 01 01
SUMNZ 80000001 00000002 11 00000002 80000003 00 00
SUMNZ fffffffe 00000002 00 00000002 fffffffc 00 00
SUMNZ fffffffe 00000002 10 00000002 00000000 00 10
SUMNZ fffffffe 00000002 01 00000002 fffffffc 00 00
SUMNZ fffffffe 00000002 11 00000002 00000000 00 10
SUMNZ ffffffff 00000002 00 00000002 fffffffd 00 00
SUMNZ ffffffff 00000002 10 00000002 00000001 00 00
SUMNZ ffffffff 00000002 01 00000002 fffffffd 00 00
SUMNZ ffffffff 00000002 11 00000002 00000001 00 00
SUMNZ 00000000 7fffffff 00 7fffffff 80000001 00 00
SUMNZ 00000000 7fffffff 01 7fffffff 80000001 00 00
SUMNZ 00000001 7fffffff 00 7fffffff 80000002 00 00
SUMNZ 00000001 7fffffff 10 7fffffff 80000000 01 01
SUMNZ 00000001 7fffffff 01 7fffffff 80000002 00 00
SUMNZ 00000001 7fffffff 11 7fffffff 80000000 01 01
SUMNZ 00000002 7fffffff 00 7fffffff 80000003 00 00
SUMNZ 00000002 7fffffff 10 7fffffff 80000001 01 01
SUMNZ 00000002 7fffffff 01 7fffffff 80000003 00 00
SUMNZ 00000002 7fffffff 11 7fffffff 80000001 01 01
SUMNZ 7fffffff 7fffffff 00 7fffffff 00000000 00 10
SUMNZ 7fffffff 7fffffff 10 7fffffff fffffffe 01 01
SUMNZ 7fffffff 7fffffff 01 7fffffff 00000000 00 10
SUMNZ 7fffffff 7fffffff 11 7fffffff fffffffe 01 01
SUMNZ 80000000 7fffffff 00 7fffffff 00000001 01 01
SUMNZ 80000000 7fffffff 10 7fffffff ffffffff 00 00
SUMNZ 80000000 7fffffff 01 7fffffff 00000001 01 01
SUMNZ 80000000 7fffffff 11 7fffffff ffffffff 00 00
