ROR   ---Q---- CZ
f2 0a 00000001 00
f3 0a 00000001 00
f4 0a 00000001 10
f5 0a 00000001 10
f6 0a 00000001 10
f7 0a 00000001 10
f8 0a 00000001 00
f9 0a 00000001 00
fa 0a 00000001 00
fb 0a 00000001 00
fc 0a 00000001 10
fd 0a 00000001 10
fe 0a 00000001 10
ff 0a 00000001 10
SHL   ---Q---- CZ
00 0b 00000000 01
01 0b 00000000 01
02 0b 00000000 01
03 0b 00000000 01
04 0b 00000001 00
05 0b 00000001 00
06 0b 00000001 00
07 0b 00000001 00
08 0b 00000002 00
09 0b 00000002 00
0a 0b 00000002 00
0b 0b 00000002 00
0c 0b 7fffffff 00
0d 0b 7fffffff 00
0e 0b 7fffffff 00
0f 0b 7fffffff 00
10 0b 80000000 10
11 0b 80000000 10
12 0b 80000000 10
13 0b 80000000 10
14 0b 80000001 10
15 0b 80000001 10
16 0b 80000001 10
17 0b 80000001 10
18 0b fffffffe 10
19 0b fffffffe 10
1a 0b fffffffe 10
1b 0b fffffffe 10
1c 0b ffffffff 10
1d 0b ffffffff 10
1e 0b ffffffff 10
1f 0b ffffffff 10
20 0b 00000000 01
21 0b 00000000 01
22 0b 00000000 01
23 0b 00000000 01
24 0b 00000002 00
25 0b 00000002 00
26 0b 00000002 00
27 0b 00000002 00
28 0b 00000004 00
29 0b 00000004 00
2a 0b 00000004 00
2b 0b 00000004 00
2c 0b fffffffe 00
2d 0b fffffffe 00
2e 0b fffffffe 00
2f 0b fffffffe 00
30 0b 00000000 11
31 0b 00000000 11
32 0b 00000000 11
33 0b 00000000 11
34 0b 00000002 10
35 0b 00000002 10
36 0b 00000002 10
37 0b 00000002 10
38 0b fffffffc 10
39 0b fffffffc 10
3a 0b fffffffc 10
3b 0b fffffffc 10
3c 0b fffffffe 10
3d 0b fffffffe 10
3e 0b fffffffe 10
3f 0b fffffffe 10
40 0b 00000000 01
41 0b 00000000 01
42 0b 00000000 01
43 0b 00000000 01
44 0b 00000004 00
45 0b 00000004 00
46 0b 00000004 00
47 0b 00000004 00
48 0b 00000008 00
49 0b 00000008 00
4a 0b 00000008 00
4b 0b 00000008 00
4c 0b fffffffc 00
4d 0b fffffffc 00
4e 0b fffffffc 00
4f 0b fffffffc 00
50 0b 00000000 11
51 0b 00000000 11
52 0b 00000000 11
53 0b 00000000 11
54 0b 00000004 10
55 0b 00000004 10
56 0b 00000004 10
57 0b 00000004 10
58 0b fffffff8 10
59 0b fffffff8 10
5a 0b fffffff8 10
5b 0b fffffff8 10
5c 0b fffffffc 10
5d 0b fffffffc 10
5e 0b fffffffc 10
5f 0b fffffffc 10
60 0b 00000000 01
61 0b 00000000 01
62 0b 00000000 01
63 0b 00000000 01
64 0b 80000000 00
65 0b 80000000 00
66 0b 80000000 00
67 0b 80000000 00
68 0b 00000000 01
69 0b 00000000 01
6a 0b 00000000 01
6b 0b 00000000 01
6c 0b 80000000 00
6d 0b 80000000 00
6e 0b 80000000 00
6f 0b 80000000 00
70 0b 00000000 11
71 0b 00000000 11
72 0b 00000000 11
73 0b 00000000 11
74 0b 80000000 10
75 0b 80000000 10
76 0b 80000000 10
77 0b 80000000 10
78 0b 00000000 11
79 0b 00000000 11
7a 0b 00000000 11
7b 0b 00000000 11
7c 0b 80000000 10
7d 0b 80000000 10
7e 0b 80000000 10
7f 0b 80000000 10
80 0b 00000000 01
81 0b 00000000 01
82 0b 00000000 01
83 0b 00000000 01
84 0b 00000001 00
85 0b 00000001 00
86 0b 00000001 00
87 0b 00000001 00
88 0b 00000002 00
89 0b 00000002 00
8a 0b 00000002 00
8b 0b 00000002 00
8c 0b 7fffffff 00
8d 0b 7fffffff 00
8e 0b 7fffffff 00
8f 0b 7fffffff 00
90 0b 80000000 10
91 0b 80000000 10
92 0b 80000000 10
93 0b 80000000 10
94 0b 80000001 10
95 0b 80000001 10
96 0b 80000001 10
97 0b 80000001 10
98 0b fffffffe 10
99 0b fffffffe 10
9a 0b fffffffe 10
9b 0b fffffffe 10
9c 0b ffffffff 10
9d 0b ffffffff 10
9e 0b ffffffff 10
9f 0b ffffffff 10
a0 0b 00000000 01
a1 0b 00000000 01
a2 0b 00000000 01
a3 0b 00000000 01
a4 0b 00000002 00
a5 0b 00000002 00
a6 0b 00000002 00
a7 0b 00000002 00
a8 0b 00000004 00
a9 0b 00000004 00
aa 0b 00000004 00
ab 0b 00000004 00
ac 0b fffffffe 00
ad 0b fffffffe 00
ae 0b fffffffe 00
af 0b fffffffe 00
b0 0b 00000000 11
b1 0b 00000000 11
b2 0b 00000000 11
b3 0b 00000000 11
b4 0b 00000002 10
b5 0b 00000002 10
b6 0b 00000002 10
b7 0b 00000002 10
b8 0b fffffffc 10
b9 0b fffffffc 10
ba 0b fffffffc 10
bb 0b fffffffc 10
bc 0b fffffffe 10
bd 0b fffffffe 10
be 0b fffffffe 10
bf 0b fffffffe 10
c0 0b 00000000 01
c1 0b 00000000 01
c2 0b 00000000 01
c3 0b 00000000 01
c4 0b 40000000 00
c5 0b 40000000 00
c6 0b 40000000 00
c7 0b 40000000 00
c8 0b 80000000 00
c9 0b 80000000 00
ca 0b 80000000 00
cb 0b 80000000 00
cc 0b c0000000 00
cd 0b c0000000 00
ce 0b c0000000 00
cf 0b c0000000 00
d0 0b 00000000 11
d1 0b 00000000 11
d2 0b 00000000 11
d3 0b 00000000 11
d4 0b 40000000 10
d5 0b 40000000 10
d6 0b 40000000 10
d7 0b 40000000 10
d8 0b 80000000 10
d9 0b 80000000 10
da 0b 80000000 10
db 0b 80000000 10
dc 0b c0000000 10
dd 0b c0000000 10
de 0b c0000000 10
df 0b c0000000 10
e0 0b 00000000 01
e1 0b 00000000 01
e2 0b 00000000 01
e3 0b 00000000 01
e4 0b 80000000 00
e5 0b 80000000 00
e6 0b 80000000 00
e7 0b 80000000 00
e8 0b 00000000 01
e9 0b 00000000 01
ea 0b 00000000 01
eb 0b 00000000 01
ec 0b 80000000 00
ed 0b 80000000 00
ee 0b 80000000 00
ef 0b 80000000 00
f0 0b 00000000 11
f1 0b 00000000 11
f2 0b 00000000 11
f3 0b 00000000 11
f4 0b 80000000 10
f5 0b 80000000 10
f6 0b 80000000 10
